Species,BodyWeight(kg),BrainWeight(kg)
Newborn_Human,3,0.3749848130
Adult_Human,73,1.3499816130
Pithecanthropus_Man,70,0.9250109210
Squirrel,1,0.0076203520
Hamster,0,0.0014061360
Chimpanzee,50,0.4199811760
Rabbit,1.4,0.0115212460
Dog_(Beagle),10,0.0719851090
Cat,4.5,0.0299824560
Rat,0.4,0.0019958060
Bottle-Nosed_Dolphin,400,1.4999846100
Beaver,24,0.0449963630
Gorilla,320,0.5024896280
Tiger,170,0.2634918080
Owl,1.5,0.0022226030
Camel,550,0.7619898230
Elephant,4600,5.9999837980
Lion,187,0.2399957230
Sheep,120,0.1399786050
Walrus,800,0.9250109210
Horse,450,0.5024896280
Cow,700,0.4414814540
Giraffe,950,0.5320184910
Green_Lizard,0.2,0.0000907185
Sperm_Whale,35000,7.7999744010
Turtle,3,0.0003175150
Alligator,270,0.0083914590
